id_assessment,student_id,question_id,id_topic,id_subtopic,question_level,answer_student,date_assessment,duration,option_selected,id_lect,description,question,level,answer1,answer2,answer3,answer4,file_name,file_ext,date_question,validate,validate_date,validate_by,newLevel,algorithmLevel,checked,keyword_id,keyword_name,topic_name,subtopic_name
5147,1220,435,18,10.0,3,1,05/01/2020 18:55,,,81,,"Consider the subsets  $\displaystyle A=\{(1, 1, 1), (0, 1, 1), (1, 2, 3)\}$ and $\displaystyle B=\left\{(1, 1, 1), \left(-\frac{2}{3}, \frac{1}{3}, \frac{1}{3}\right), \left(0, -\frac{1}{2}, \frac{1}{2}\right)\right\}$ of $\mathbb{R}^3$. Choose the right answer:",Basic,$B$ is an orthogonal basis of $\mathbb{R}^3$ but $A$ isn't an orthogonal basis of $\mathbb{R}^3$,$A$ is an orthogonal basis of $\mathbb{R}^3$ but $B$ isn't an orhtogonal basis of $\mathbb{R}^3$,$A$ and $B$ are both orthogonal basis of of $\mathbb{R}^3$,$A$ and $B$ are both non-orthogonal basis of $\mathbb{R}^3$,,,30/04/2019 12:01,1,01/05/2019 23:47,38.0,4,2,1.0,151.0,Basis,Linear Algebra,Vector Spaces
22696,3508,1877,18,8.0,1,1,07/01/2025 14:20,,,127,,"The trace of the matrix  $A=
\left[ \begin{array}{rrr}
	  -3 &  0 & 0 \\
       1 & 3  & 0 \\
        1 & -3  & 0\\
\end{array}\right]$ is",Basic,$0$,$-6$,$1$,$-3$,,,05/01/2020 23:03,1,21/04/2020 0:49,64.0,1,1,,322.0,Trace of a matrix,Linear Algebra,Eigenvalues and Eigenvectors
3761,168,431,18,10.0,4,-1,28/12/2019 22:03,,,72,,The subspaces of $\mathbb{R}^2$ are:,Basic,"The set $\left\{(0, 0)\right\}$, all the lines of  $\mathbb{R}^2$ containing $(0, 0)$ and $\mathbb{R}^2$ ","The set $\left\{(0, 0)\right\}$, all the lines of  $\mathbb{R}^2$ and $\mathbb{R}^2$",All the lines of  $\mathbb{R}^2$,"All the lines of  $\mathbb{R}^2$ containing $(0, 0)$",,,30/04/2019 1:33,1,01/05/2019 23:30,38.0,1,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces
22603,3504,2073,18,11.0,4,0,05/01/2025 21:32,,,72,,Consider the linear transformations  $T:M_{2\times 2}(\mathbb{R})\longrightarrow M_{2\times 2}(\mathbb{R})$. Select the transformation that is a monomorphism.,Basic,"$T\left(\left[\begin{array}{rr}
      a & b \\
	 c & d
			\end{array}\right]\right)= \left[\begin{array}{rr}
      a+b & c+d\\
	  2a+d & 2a-4b    \end{array}\right]$","$T\left(\left[\begin{array}{rr}
      a & b \\
	 c & d
			\end{array}\right]\right)= \left[\begin{array}{rr}
      a+b & c+d\\
	  a+d & 2a+2b    \end{array}\right]$","$T\left(\left[\begin{array}{rr}
      a & b \\
	 c & d
			\end{array}\right]\right)= \left[\begin{array}{rr}
      0 & 0\\
	  0 & 0   \end{array}\right]$","$T\left(\left[\begin{array}{rr}
      a & b \\
	 c & d
			\end{array}\right]\right)= \left[\begin{array}{rr}
      0 & 0\\
	  a & b    \end{array}\right]$",,,24/11/2019 22:06,1,11/12/2019 16:14,61.0,4,4,,157.0,Linear transformation,Linear Algebra,Linear Transformations
10123,176,665,7,2.0,1,0,26/11/2020 10:42,,,50,,"Consider that $F \neq0$. Solve for $C$:

$F=\dfrac{9}{5}C+32$",Basic,$C= \dfrac{5}{9}(F-32)$,$C= \dfrac{9}{5}(F-32)$,$C= \dfrac{5}{9}(F+32)$,$C= \dfrac{5}{9}(32-F)$,,,14/05/2019 17:24,1,09/09/2019 0:59,37.0,2,4,1.0,3.0,Linear equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
5834,1076,417,18,10.0,2,0,06/01/2020 21:59,,,81,,"Consider the subspace of $\mathbb{R}^4$ 
$$S=\{(x, y, z, w)\in \mathbb{R}^4: x+y-z=0\wedge x-2y+w=0\}.$$
A base of $S$ is the set:",Basic,"$\{(1,0, 1,-1), (0, 2, 2, 4)\}$","$\{(1,0, 1,-1), (1, -1, 0, -3), (2, 3, 5, 4)\}$","$\{(1,0, 1,-1), (1, 2, 2, 4)\}$","$\{(1,-3, -2,-7), (-2, 6, 4, 14)\}$",,,29/04/2019 16:10,1,01/05/2019 22:40,38.0,3,2,1.0,151.0,Basis,Linear Algebra,Vector Spaces
277,135,299,17,,4,1,15/05/2019 20:38,,,79,,A card is drawn at random from a deck with 52 cards. Find the probability of getting the 7 of hearts.,Basic,$\dfrac{1}{52}$,$\dfrac{1}{26}$,$\dfrac{7}{52}$ ,$\dfrac{7}{26}$ ,,,26/04/2019 16:20,1,02/05/2019 19:44,38.0,1,3,1.0,35.0,Sample space,Probability ,
9787,1835,614,7,2.0,7,1,17/11/2020 19:38,,,50,,"Simplify:

$\dfrac{(3x +4x)(5x-x)}{(6x-7x)}$",Basic,$-28x$,$-28$,$-x$,$-13$,,,10/05/2019 12:39,1,09/09/2019 0:49,37.0,1,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
14134,2574,112,7,2.0,7,0,11/10/2021 20:16,,,50,,"Make $d$ the subject of the expression

$p=\frac{\pi d}{2}$",Basic,$d=\frac{2p}{\pi}$,$d={\frac{\pi}{2}}-p$,$d=\frac{\pi}{2p}$,$d=\frac{2\pi}{p}$,,,20/03/2019 22:16,1,23/04/2019 19:26,37.0,1,4,1.0,317.0,Rearranging equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
4011,1276,416,18,10.0,2,0,01/01/2020 12:51,,,72,,"Consider the subspace of matrices of order $2$, 
$$S=\left\{ \left[\begin{array}{rr}
 a  & b  \\
  -b & c  
\end{array}\right], \quad a, b, c	\in \mathbb{R}\right\}.$$ 
A base of the subspace $S$ is the set:",Basic,"$\left\{ \left[\begin{array}{rr}
 2  & 1  \\
  -1 & 3  
\end{array}\right], \left[\begin{array}{rr}
 1  & 0  \\
  0 & 2  
\end{array}\right], \left[\begin{array}{rr}
 3  & -2  \\
  2 & -1  
\end{array}\right]\right\}$ ","$\left\{ \left[\begin{array}{rr}
 2  & 1  \\
  -1 & 3  
\end{array}\right], \left[\begin{array}{rr}
 1  & 0  \\
  0 & 3  
\end{array}\right]\right\}$ ","$\left\{ \left[\begin{array}{rr}
 1  & -2  \\
  2 & 0  
\end{array}\right], \left[\begin{array}{rr}
 2  & 0  \\
  0 & 1  
\end{array}\right], \left[\begin{array}{rr}
 1  & 2  \\
  -2 & 1  
\end{array}\right]\right\}$ ","$\left\{ \left[\begin{array}{rr}
 2  & 1  \\
  -1 & 3  
\end{array}\right]\right\}$",,,29/04/2019 15:56,1,01/05/2019 22:40,38.0,3,2,1.0,151.0,Basis,Linear Algebra,Vector Spaces
